0	0	0	0	0	0
256	0	0	181	9	4
512	0	0	363	17	7
768	0	0	545	26	11
1024	0	0	724	34	14
1280	0	0	899	43	17
1536	0	0	1078	51	21
1792	0	0	1263	59	24
2048	0	0	1455	69	28
2303	0	0	1640	77	31
2559	0	0	1825	86	35
2815	0	0	2009	94	39
3071	0	0	2206	103	41
3327	0	0	2396	111	45
3583	0	0	2581	120	48
3839	0	0	2766	128	52
4095	0	0	2958	137	56
0	256	0	56	220	16
256	256	0	237	229	18
512	256	0	419	238	22
768	256	0	601	247	26
1024	256	0	780	256	29
1280	256	0	958	266	33
1536	256	0	1140	275	37
1792	256	0	1326	283	40
2048	256	0	1518	292	44
2303	256	0	1703	301	46
2559	256	0	1886	312	50
2815	256	0	2075	321	54
3071	256	0	2270	330	57
3327	256	0	2458	339	61
3583	256	0	2641	348	64
3839	256	0	2829	357	68
4095	256	0	3021	366	72
0	512	0	111	447	31
256	512	0	293	458	34
512	512	0	478	467	38
768	512	0	658	478	42
1024	512	0	837	487	44
1280	512	0	1015	496	48
1536	512	0	1197	505	51
1792	512	0	1387	514	55
2048	512	0	1576	523	59
2303	512	0	1762	532	62
2559	512	0	1942	541	66
2815	512	0	2136	551	69
3071	512	0	2329	560	73
3327	512	0	2516	570	77
3583	512	0	2701	579	79
3839	512	0	2890	588	83
4095	512	0	3083	597	86
0	768	0	169	675	46
256	768	0	351	685	49
512	768	0	535	694	53
768	768	0	714	703	56
1024	768	0	893	713	60
1280	768	0	1071	722	64
1536	768	0	1255	731	67
1792	768	0	1448	740	71
2048	768	0	1635	749	74
2303	768	0	1818	758	77
2559	768	0	2001	767	81
2815	768	0	2198	777	84
3071	768	0	2389	788	88
3327	768	0	2574	797	91
3583	768	0	2758	806	95
3839	768	0	2951	816	99
4095	768	0	3144	825	102
0	1024	0	225	899	61
256	1024	0	407	909	65
512	1024	0	590	919	69
768	1024	0	770	928	72
1024	1024	0	948	938	75
1280	1024	0	1130	947	79
1536	1024	0	1316	956	82
1792	1024	0	1508	965	86
2048	1024	0	1692	974	89
2303	1024	0	1875	984	93
2559	1024	0	2064	993	97
2815	1024	0	2260	1003	100
3071	1024	0	2447	1013	104
3327	1024	0	2631	1023	107
3583	1024	0	2819	1033	110
3839	1024	0	3012	1043	114
4095	1024	0	3205	1053	117
0	1280	0	281	1129	76
256	1280	0	465	1139	80
512	1280	0	647	1149	84
768	1280	0	827	1158	87
1024	1280	0	1005	1168	91
1280	1280	0	1187	1178	94
1536	1280	0	1377	1187	98
1792	1280	0	1565	1197	102
2048	1280	0	1750	1207	105
2303	1280	0	1931	1216	108
2559	1280	0	2124	1227	111
2815	1280	0	2318	1237	115
3071	1280	0	2505	1247	119
3327	1280	0	2690	1257	122
3583	1280	0	2880	1269	126
3839	1280	0	3074	1279	129
4095	1280	0	3267	1289	133
0	1536	0	339	1366	92
256	1536	0	523	1376	96
512	1536	0	704	1386	99
768	1536	0	883	1397	102
1024	1536	0	1061	1407	106
1280	1536	0	1245	1419	109
1536	1536	0	1437	1428	113
1792	1536	0	1623	1438	116
2048	1536	0	1807	1448	120
2303	1536	0	1987	1459	124
2559	1536	0	2185	1469	127
2815	1536	0	2376	1479	131
3071	1536	0	2561	1490	134
3327	1536	0	2745	1500	137
3583	1536	0	2938	1511	142
3839	1536	0	3133	1522	144
4095	1536	0	3325	1532	148
0	1792	0	397	1604	107
256	1792	0	579	1615	111
512	1792	0	759	1625	114
768	1792	0	938	1635	118
1024	1792	0	1119	1645	121
1280	1792	0	1305	1655	125
1536	1792	0	1497	1664	129
1792	1792	0	1681	1674	131
2048	1792	0	1864	1684	135
2303	1792	0	2050	1695	139
2559	1792	0	2248	1705	142
2815	1792	0	2436	1714	146
3071	1792	0	2620	1724	149
3327	1792	0	2806	1734	153
3583	1792	0	2999	1744	158
3839	1792	0	3194	1754	161
4095	1792	0	3386	1764	165
0	2048	0	454	1839	123
256	2048	0	636	1849	127
512	2048	0	816	1860	129
768	2048	0	994	1870	133
1024	2048	0	1177	1879	136
1280	2048	0	1366	1889	140
1536	2048	0	1556	1899	144
1792	2048	0	1739	1908	147
2048	2048	0	1920	1919	151
2303	2048	0	2112	1929	154
2559	2048	0	2306	1939	159
2815	2048	0	2493	1949	163
3071	2048	0	2679	1959	166
3327	2048	0	2868	1969	170
